Names,VolumeKB,VolumeMB,VolumeGB
Adamant Creeper,4.907379450276494,5145760.314453125,5025.15655708313
Alovera,4.886933599598706,5124321.2861328125,5004.220005989075
Betel,4.355446450412273,4567016.6171875,4459.977165222168
Black-Honey Shrub,4.476687587797642,4694147.1640625,4584.128089904785
Calotropis gigantea,7.194335773587227,7543807.828125,7366.99983215332
Caster,5.183218250982463,5434998.2607421875,5307.6154890060425
Cinnamon,4.4096250385046005,4623826.984375,4515.456039428711
ginger,4.4999858140945435,4718577.125,4607.9854736328125
Henna,4.256869252771139,4463650.93359375,4359.0341148376465
Hibiscus,4.485610145144165,4703503.1435546875,4593.2647886276245
Holy Basil,4.689654558897018,4917459.21875,4802.206268310547
Indian acalypha,3.7994639864191413,3984026.7490234375,3890.6511220932007
indian Mallow,5.19551242236048,5447889.6337890625,5320.204720497131
ivy gourd,3.9001894360408187,4089645.0380859375,3993.7939825057983
Landrina,4.213077673688531,4417732.134765625,4314.191537857056
Lemon grass,4.955203192308545,5195907.142578125,5074.12806892395
lime,4.463117589242756,4679917.9892578125,4570.2324113845825
long Pepper,4.488442732952535,4706473.3271484375,4596.165358543396
Miracle Leaf,4.853316185995936,5089070.873046875,4969.795774459839
Mountain Knotgrass,4.119182935915887,4319276.3662109375,4218.043326377869
Neem,5.972177676856518,6262282.1796875,6115.509941101074
Oregano,4.27921655215323,4487083.775390625,4381.917749404907
Pedalium murex,4.242626687511802,4448716.521484375,4344.449728012085
Red Pea Eggplant,4.371802374720573,4584167.046875,4476.725631713867
Ringworm Plant,5.943642467260361,6232360.84375,6086.289886474609
Seeds under leaves,4.706921575590968,4935564.998046875,4819.887693405151
Sleepy Plant,6.449348372407258,6762631.9189453125,6604.132733345032
tall perennial grass,5.352946015074849,5612970.720703125,5481.4167194366455
Thorn Apple,5.642520963214338,5916612.0615234375,5777.941466331482
turmeric,6.306307692080736,6612642.89453125,6457.659076690674
Vitex negundo,4.596429508179426,4819705.66796875,4706.743816375732
Wild Turmaric,5.291591003537178,5548635.328125,5418.58918762207
