Names,counts
AdamantCreeper,1510
Alovera,1508
Betel,1500
Black-HoneyShrub,1512
Calotropisgigantea,1499
Caster,1490
Cinnamon,1497
ginger,1499
Henna,1498
Hibiscus,1501
HolyBasil,1502
indian Mallow,1495
Indianacalypha,1498
ivy gourd,1495
Landrina,1496
Lemongrass,1499
lime,1495
longPepper,1501
MiracleLeaf,1494
MountainKnotgrass,1503
Neem,1583
Oregano,1500
Pedaliummurex,1498
RedPeaEggplant,1595
RingwormPlant,1600
Seedsunderleaves,1495
SleepyPlant,1803
tallperennialgrass,1531
ThornApple,1556
turmeric,1494
Vitexnegundo,1511
WildTurmaric,1508
