Names,Path,Files,Volume MB,subfolders
AdamantCreeper,E:\\Ddisk\AyushVision\AdamantCreeper,1510,4915.874216079712,1
Alovera,E:\\Ddisk\AyushVision\Alovera,1508,4979.384762763977,1
Betel,E:\\Ddisk\AyushVision\Betel,1500,4457.378313064575,1
Black-HoneyShrub,E:\\Ddisk\AyushVision\Black-HoneyShrub,1512,4560.576977729797,1
Calotropisgigantea,E:\\Ddisk\AyushVision\Calotropisgigantea,1499,7362.588313102722,1
Caster,E:\\Ddisk\AyushVision\Caster,1490,5255.001353263855,1
Cinnamon,E:\\Ddisk\AyushVision\Cinnamon,1497,4483.452664375305,1
ginger,E:\\Ddisk\AyushVision\ginger,1499,4595.585308074951,1
Henna,E:\\Ddisk\AyushVision\Henna,1498,4343.980605125427,1
Hibiscus,E:\\Ddisk\AyushVision\Hibiscus,1501,4583.376182556152,1
HolyBasil,E:\\Ddisk\AyushVision\HolyBasil,1502,4985.880323410034,1
indian Mallow,E:\\Ddisk\AyushVision\indian Mallow,1495,5270.888895988464,1
Indianacalypha,E:\\Ddisk\AyushVision\Indianacalypha,1498,3867.503911972046,1
ivy gourd,E:\\Ddisk\AyushVision\ivy gourd,1495,3982.3787927627563,1
Landrina,E:\\Ddisk\AyushVision\Landrina,1496,4297.286840438843,1
Lemongrass,E:\\Ddisk\AyushVision\Lemongrass,1499,5038.155842781067,1
lime,E:\\Ddisk\AyushVision\lime,1495,4559.109313011169,1
longPepper,E:\\Ddisk\AyushVision\longPepper,1501,4548.398963928223,1
MiracleLeaf,E:\\Ddisk\AyushVision\MiracleLeaf,1494,4920.36904335022,1
MountainKnotgrass,E:\\Ddisk\AyushVision\MountainKnotgrass,1503,4203.360275268555,1
Neem,E:\\Ddisk\AyushVision\Neem,1583,6266.719361305237,1
Oregano,E:\\Ddisk\AyushVision\Oregano,1500,3931.2509574890137,1
Pedaliummurex,E:\\Ddisk\AyushVision\Pedaliummurex,1498,4341.183909416199,1
RedPeaEggplant,E:\\Ddisk\AyushVision\RedPeaEggplant,1595,4892.427871704102,1
RingwormPlant,E:\\Ddisk\AyushVision\RingwormPlant,1600,6070.672293663025,1
Seedsunderleaves,E:\\Ddisk\AyushVision\Seedsunderleaves,1495,4799.824869155884,1
SleepyPlant,E:\\Ddisk\AyushVision\SleepyPlant,1803,6369.769862174988,1
tallperennialgrass,E:\\Ddisk\AyushVision\tallperennialgrass,1531,5447.068691253662,1
ThornApple,E:\\Ddisk\AyushVision\ThornApple,1556,6296.205199241638,1
turmeric,E:\\Ddisk\AyushVision\turmeric,1494,6480.665030479431,1
Vitexnegundo,E:\\Ddisk\AyushVision\Vitexnegundo,1511,4706.743816375732,1
WildTurmaric,E:\\Ddisk\AyushVision\WildTurmaric,1508,5411.225686073303,1
