Names,counts
AdamantCreeper,1525
Alovera,1513
Betel,1500
Black-HoneyShrub,1517
Calotropisgigantea,1500
Caster,1497
Cinnamon,1500
ginger,1501
Henna,1500
Hibiscus,1501
HolyBasil,1547
indian Mallow,1500
Indianacalypha,1500
ivy gourd,1500
Landrina,1500
Lemongrass,1501
lime,1499
longPepper,1505
MiracleLeaf,1500
MountainKnotgrass,1519
Neem,1586
Oregano,1350
Pedaliummurex,1500
RedPeaEggplant,1535
RingwormPlant,1601
Seedsunderleaves,1501
SleepyPlant,1873
tallperennialgrass,1539
ThornApple,1500
turmeric,1487
Vitexnegundo,1511
WildTurmaric,1510
