Names,Path,Files,Volume MB,subfolders
AdamantCreeper,D:\\AYUSHWORKING\classification\AdamantCreeper,1500,13.770950317382812,1
Alovera,D:\\AYUSHWORKING\classification\Alovera,1500,16.045475959777832,1
Betel,D:\\AYUSHWORKING\classification\Betel,1500,14.238788604736328,1
Black-HoneyShrub,D:\\AYUSHWORKING\classification\Black-HoneyShrub,1500,16.401634216308594,1
Calotropisgigantea,D:\\AYUSHWORKING\classification\Calotropisgigantea,1500,17.058825492858887,1
Caster,D:\\AYUSHWORKING\classification\Caster,1497,14.86173152923584,1
Cinnamon,D:\\AYUSHWORKING\classification\Cinnamon,1500,12.927295684814453,1
ginger,D:\\AYUSHWORKING\classification\ginger,1500,13.589607238769531,1
Henna,D:\\AYUSHWORKING\classification\Henna,1500,12.232001304626465,1
Hibiscus,D:\\AYUSHWORKING\classification\Hibiscus,1500,13.962523460388184,1
HolyBasil,D:\\AYUSHWORKING\classification\HolyBasil,1500,13.336896896362305,1
indian Mallow,D:\\AYUSHWORKING\classification\indian Mallow,1500,11.668810844421387,1
Indianacalypha,D:\\AYUSHWORKING\classification\Indianacalypha,1500,11.383150100708008,1
ivy gourd,D:\\AYUSHWORKING\classification\ivy gourd,1499,12.64033317565918,1
Landrina,D:\\AYUSHWORKING\classification\Landrina,1500,13.164209365844727,1
Lemongrass,D:\\AYUSHWORKING\classification\Lemongrass,1500,16.402256965637207,1
lime,D:\\AYUSHWORKING\classification\lime,1499,12.355775833129883,1
longPepper,D:\\AYUSHWORKING\classification\longPepper,1500,15.433629989624023,1
MiracleLeaf,D:\\AYUSHWORKING\classification\MiracleLeaf,1500,13.807910919189453,1
MountainKnotgrass,D:\\AYUSHWORKING\classification\MountainKnotgrass,1500,17.728930473327637,1
Neem,D:\\AYUSHWORKING\classification\Neem,1500,14.2039213180542,1
Oregano,D:\\AYUSHWORKING\classification\Oregano,1500,13.137893676757812,1
Pedaliummurex,D:\\AYUSHWORKING\classification\Pedaliummurex,1499,13.065272331237793,1
RedPeaEggplant,D:\\AYUSHWORKING\classification\RedPeaEggplant,1500,15.806679725646973,1
RingwormPlant,D:\\AYUSHWORKING\classification\RingwormPlant,1500,13.06602954864502,1
Seedsunderleaves,D:\\AYUSHWORKING\classification\Seedsunderleaves,1500,14.88397216796875,1
SleepyPlant,D:\\AYUSHWORKING\classification\SleepyPlant,1499,16.22246551513672,1
tallperennialgrass,D:\\AYUSHWORKING\classification\tallperennialgrass,1500,17.486282348632812,1
ThornApple,D:\\AYUSHWORKING\classification\ThornApple,1500,16.080286026000977,1
turmeric,D:\\AYUSHWORKING\classification\turmeric,1494,15.176984786987305,1
Vitexnegundo,D:\\AYUSHWORKING\classification\Vitexnegundo,1500,13.197327613830566,1
WildTurmaric,D:\\AYUSHWORKING\classification\WildTurmaric,1500,18.010497093200684,1
