Names,Path,Files,Volume MB,subfolders
AdamantCreeper,D:\\AYUSHWORKING\AYUSHREADY\train\AdamantCreeper,1311,11.948944091796875,1
Alovera,D:\\AYUSHWORKING\AYUSHREADY\train\Alovera,1311,13.992623329162598,1
Betel,D:\\AYUSHWORKING\AYUSHREADY\train\Betel,1312,12.449792861938477,1
Black-HoneyShrub,D:\\AYUSHWORKING\AYUSHREADY\train\Black-HoneyShrub,1312,14.341313362121582,1
Calotropisgigantea,D:\\AYUSHWORKING\AYUSHREADY\train\Calotropisgigantea,1311,14.959415435791016,1
Caster,D:\\AYUSHWORKING\AYUSHREADY\train\Caster,1312,13.026652336120605,1
Cinnamon,D:\\AYUSHWORKING\AYUSHREADY\train\Cinnamon,1311,11.222411155700684,1
ginger,D:\\AYUSHWORKING\AYUSHREADY\train\ginger,1311,11.844745635986328,1
Henna,D:\\AYUSHWORKING\AYUSHREADY\train\Henna,1312,10.6587553024292,1
Hibiscus,D:\\AYUSHWORKING\AYUSHREADY\train\Hibiscus,1311,12.206642150878906,1
HolyBasil,D:\\AYUSHWORKING\AYUSHREADY\train\HolyBasil,1312,11.531524658203125,1
indian Mallow,D:\\AYUSHWORKING\AYUSHREADY\train\indian Mallow,1311,10.183069229125977,1
Indianacalypha,D:\\AYUSHWORKING\AYUSHREADY\train\Indianacalypha,1311,9.924912452697754,1
ivy gourd,D:\\AYUSHWORKING\AYUSHREADY\train\ivy gourd,1311,11.056427001953125,1
Landrina,D:\\AYUSHWORKING\AYUSHREADY\train\Landrina,1312,11.49494743347168,1
Lemongrass,D:\\AYUSHWORKING\AYUSHREADY\train\Lemongrass,1311,14.348748207092285,1
lime,D:\\AYUSHWORKING\AYUSHREADY\train\lime,1311,10.820723533630371,1
longPepper,D:\\AYUSHWORKING\AYUSHREADY\train\longPepper,1311,13.446776390075684,1
MiracleLeaf,D:\\AYUSHWORKING\AYUSHREADY\train\MiracleLeaf,1311,12.031161308288574,1
MountainKnotgrass,D:\\AYUSHWORKING\AYUSHREADY\train\MountainKnotgrass,1312,15.534611701965332,1
Neem,D:\\AYUSHWORKING\AYUSHREADY\train\Neem,1311,12.302595138549805,1
Oregano,D:\\AYUSHWORKING\AYUSHREADY\train\Oregano,1312,11.542767524719238,1
Pedaliummurex,D:\\AYUSHWORKING\AYUSHREADY\train\Pedaliummurex,1311,11.436416625976562,1
RedPeaEggplant,D:\\AYUSHWORKING\AYUSHREADY\train\RedPeaEggplant,1311,13.818387985229492,1
RingwormPlant,D:\\AYUSHWORKING\AYUSHREADY\train\RingwormPlant,1311,11.443721771240234,1
Seedsunderleaves,D:\\AYUSHWORKING\AYUSHREADY\train\Seedsunderleaves,1312,12.990431785583496,1
SleepyPlant,D:\\AYUSHWORKING\AYUSHREADY\train\SleepyPlant,1311,14.34797477722168,1
tallperennialgrass,D:\\AYUSHWORKING\AYUSHREADY\train\tallperennialgrass,1311,15.260902404785156,1
ThornApple,D:\\AYUSHWORKING\AYUSHREADY\train\ThornApple,1311,14.283658027648926,1
turmeric,D:\\AYUSHWORKING\AYUSHREADY\train\turmeric,1311,13.344341278076172,1
Vitexnegundo,D:\\AYUSHWORKING\AYUSHREADY\train\Vitexnegundo,1311,11.527811050415039,1
WildTurmaric,D:\\AYUSHWORKING\AYUSHREADY\train\WildTurmaric,1311,15.696532249450684,1
