Names,counts
AdamantCreeper,1311
Alovera,1311
Betel,1312
Black-HoneyShrub,1312
Calotropisgigantea,1311
Caster,1312
Cinnamon,1311
ginger,1311
Henna,1312
Hibiscus,1311
HolyBasil,1312
indian Mallow,1311
Indianacalypha,1311
ivy gourd,1311
Landrina,1312
Lemongrass,1311
lime,1311
longPepper,1311
MiracleLeaf,1311
MountainKnotgrass,1312
Neem,1311
Oregano,1312
Pedaliummurex,1311
RedPeaEggplant,1311
RingwormPlant,1311
Seedsunderleaves,1312
SleepyPlant,1311
tallperennialgrass,1311
ThornApple,1311
turmeric,1311
Vitexnegundo,1311
WildTurmaric,1311
