Speciesname,Path,Leaves,Plants,Flowers,rawFruits,Root
AdamantCreeper,D:\\AYUSHWORKING\AYUSHREADY\train\AdamantCreeper\plant,623,513,175,0,0
Alovera,D:\\AYUSHWORKING\AYUSHREADY\train\Alovera\Plants,441,870,0,0,0
Betel,D:\\AYUSHWORKING\AYUSHREADY\train\Betel\Plant,656,656,0,0,0
Black-HoneyShrub,D:\\AYUSHWORKING\AYUSHREADY\train\Black-HoneyShrub\plant,538,774,0,0,0
Calotropisgigantea,D:\\AYUSHWORKING\AYUSHREADY\train\Calotropisgigantea\plant,469,635,207,0,0
Caster,D:\\AYUSHWORKING\AYUSHREADY\train\Caster\seeds,434,537,0,341,0
Cinnamon,D:\\AYUSHWORKING\AYUSHREADY\train\Cinnamon\plant,770,541,0,0,0
ginger,D:\\AYUSHWORKING\AYUSHREADY\train\ginger\Root,469,668,0,0,174
Henna,D:\\AYUSHWORKING\AYUSHREADY\train\Henna\plant,658,654,0,0,0
Hibiscus,D:\\AYUSHWORKING\AYUSHREADY\train\Hibiscus\plant,519,530,262,0,0
HolyBasil,D:\\AYUSHWORKING\AYUSHREADY\train\HolyBasil\Plants,502,524,286,0,0
indian Mallow,D:\\AYUSHWORKING\AYUSHREADY\train\indian Mallow\plant,438,525,348,0,0
Indianacalypha,D:\\AYUSHWORKING\AYUSHREADY\train\Indianacalypha\plants,481,568,262,0,0
ivy gourd,D:\\AYUSHWORKING\AYUSHREADY\train\ivy gourd\plant,483,638,0,190,0
Landrina,D:\\AYUSHWORKING\AYUSHREADY\train\Landrina\plant,656,656,0,0,0
Lemongrass,D:\\AYUSHWORKING\AYUSHREADY\train\Lemongrass\Plant,658,653,0,0,0
lime,D:\\AYUSHWORKING\AYUSHREADY\train\lime\Plant,544,563,0,204,0
longPepper,D:\\AYUSHWORKING\AYUSHREADY\train\longPepper\plants,537,574,0,200,0
MiracleLeaf,D:\\AYUSHWORKING\AYUSHREADY\train\MiracleLeaf\Plant,667,644,0,0,0
MountainKnotgrass,D:\\AYUSHWORKING\AYUSHREADY\train\MountainKnotgrass\Plants,460,852,0,0,0
Neem,D:\\AYUSHWORKING\AYUSHREADY\train\Neem\plant,624,523,164,0,0
Oregano,D:\\AYUSHWORKING\AYUSHREADY\train\Oregano\plant,656,656,0,0,0
Pedaliummurex,D:\\AYUSHWORKING\AYUSHREADY\train\Pedaliummurex\seeds,438,523,175,175,0
RedPeaEggplant,D:\\AYUSHWORKING\AYUSHREADY\train\RedPeaEggplant\plant,444,533,167,167,0
RingwormPlant,D:\\AYUSHWORKING\AYUSHREADY\train\RingwormPlant\Plant,406,493,245,167,0
Seedsunderleaves,D:\\AYUSHWORKING\AYUSHREADY\train\Seedsunderleaves\plant,665,647,0,0,0
SleepyPlant,D:\\AYUSHWORKING\AYUSHREADY\train\SleepyPlant\Plant,401,770,140,0,0
tallperennialgrass,D:\\AYUSHWORKING\AYUSHREADY\train\tallperennialgrass\root,515,602,0,0,194
ThornApple,D:\\AYUSHWORKING\AYUSHREADY\train\ThornApple\seeds,427,539,177,168,0
turmeric,D:\\AYUSHWORKING\AYUSHREADY\train\turmeric\root,446,690,0,0,175
Vitexnegundo,D:\\AYUSHWORKING\AYUSHREADY\train\Vitexnegundo\plant,562,576,173,0,0
WildTurmaric,D:\\AYUSHWORKING\AYUSHREADY\train\WildTurmaric\plant,447,618,0,0,246
