Names,VolumeKB,VolumeMB,VolumeGB
AdamantCreeper,4.865016677416861,5101339.7275390625,4981.777077674866
Alovera,4.886933599598706,5124321.2861328125,5004.220005989075
Betel,4.355446450412273,4567016.6171875,4459.977165222168
Black-HoneyShrub,4.476687587797642,4694147.1640625,4584.128089904785
Calotropisgigantea,7.194335773587227,7543807.828125,7366.99983215332
Caster,5.183218250982463,5434998.2607421875,5307.6154890060425
Cinnamon,4.4096250385046005,4623826.984375,4515.456039428711
ginger,4.4999858140945435,4718577.125,4607.9854736328125
Henna,4.256869252771139,4463650.93359375,4359.0341148376465
Hibiscus,4.485610145144165,4703503.1435546875,4593.2647886276245
HolyBasil,5.048700542189181,5293946.2197265625,5169.869355201721
indian Mallow,5.19551242236048,5447889.6337890625,5320.204720497131
Indianacalypha,3.7994639864191413,3984026.7490234375,3890.6511220932007
ivy gourd,3.9001894360408187,4089645.0380859375,3993.7939825057983
Landrina,4.213077673688531,4417732.134765625,4314.191537857056
Lemongrass,4.955203192308545,5195907.142578125,5074.12806892395
lime,4.463117589242756,4679917.9892578125,4570.2324113845825
longPepper,4.475027350708842,4692406.279296875,4582.4280071258545
MiracleLeaf,4.853316185995936,5089070.873046875,4969.795774459839
MountainKnotgrass,4.119182935915887,4319276.3662109375,4218.043326377869
Neem,6.285626501776278,6590957.0947265625,6436.481537818909
Oregano,3.843934366479516,4030657.322265625,3936.1887912750244
Pedaliummurex,4.243562747724354,4449698.0517578125,4345.408253669739
RedPeaEggplant,4.788788170553744,5021408.3447265625,4903.719086647034
RingwormPlant,5.943642467260361,6232360.84375,6086.289886474609
Seedsunderleaves,4.706921575590968,4935564.998046875,4819.887693405151
SleepyPlant,6.449348372407258,6762631.9189453125,6604.132733345032
tallperennialgrass,5.352946015074849,5612970.720703125,5481.4167194366455
ThornApple,6.164800396189094,6464261.740234375,6312.755605697632
turmeric,6.3287744438275695,6636200.9912109375,6480.665030479431
Vitexnegundo,4.596429508179426,4819705.66796875,4706.743816375732
WildTurmaric,5.291591003537178,5548635.328125,5418.58918762207
